"contrast","estimate","SE","df","t.ratio","p.value"
"entry14 - entry8",-131.45695880128,71.9419831713292,71,-1.82726348380217,0.948427713757872
"entry14 - entry15",-139.208759545849,88.9198673493961,71,-1.56555293766747,0.988796450048452
"entry16 - entry17",109.636374404455,73.3377933500037,71,1.49495054863754,0.993297786631351
"entry16 - entry18",234.7658560877,75.2957551903003,71,3.11791621578613,0.203879552948772
"entry16 - entry19",188.37133801244,81.4543050214678,71,2.31260137770242,0.719485165422099
"entry16 - entry20",-232.918678374865,74.3716235358485,71,-3.13182188718246,0.197819223830984
"entry16 - entry3",265.143261392667,80.215715993847,71,3.30537798120514,0.132955972226095
"entry16 - entry5",59.6016640802095,73.0200654905763,71,0.816236792993585,0.999998750814203
"entry16 - entry8",371.663388148066,76.4627108004068,71,4.86071425218277,0.00106886147371432
"entry16 - entry15",363.911587403498,93.1056749063514,71,3.90858653642253,0.0257929914376632
"entry17 - entry18",125.129481683245,74.0745948187652,71,1.68923612730374,0.975321457715052
"entry17 - entry19",78.7349636079848,81.0910644619473,71,0.970945000295709,0.999980537469352
"entry17 - entry20",-342.55505277932,73.1704938450644,71,-4.68160094019136,0.00202935649298441
"entry17 - entry3",155.506886988212,78.9305035013186,71,1.97017477515032,0.903406726691142
"entry17 - entry5",-50.0347103242453,71.7496991707325,71,-0.697350802895841,0.999999909212353
"entry17 - entry8",262.027013743612,74.8015805825958,71,3.50296092278801,0.0809712167181079
"entry17 - entry15",254.275212999043,92.0200119861694,71,2.76325994216628,0.401856383452401
"entry18 - entry19",-46.3945180752601,82.8758325941147,71,-0.559807565403026,0.99999999799244
"entry18 - entry20",-467.684534462564,75.0939932378467,71,-6.22798860863955,5.28911460895287e-06
"entry18 - entry3",30.3774053049671,79.7820064121614,71,0.380755093423378,0.999999999998266
"entry18 - entry5",-175.16419200749,73.6191027260462,71,-2.37933071066238,0.673917260844423
"entry18 - entry8",136.897532060367,77.1091851309008,71,1.77537256849452,0.960265610847858
"entry18 - entry15",129.145731315798,92.4150069121698,71,1.39745411087332,0.99697344862852
"entry19 - entry20",-421.290016387304,81.2884596448143,71,-5.18265468712421,0.0003249677284205
"entry19 - entry3",76.7719233802272,87.6454556637585,71,0.875937295308882,0.999996103902678
"entry19 - entry5",-128.76967393223,80.8114069024862,71,-1.59345912746717,0.98645298436282
"entry19 - entry8",183.292050135627,84.1348857554954,71,2.17854993787348,0.803093500726032
"entry19 - entry15",175.540249391058,98.8885127629221,71,1.77513286919283,0.960315191551737
"entry20 - entry3",498.061939767531,79.9341609528645,71,6.23090220539412,5.22664738356049e-06
"entry20 - entry5",292.520342455074,72.7982778958267,71,4.01823162456764,0.0184586606951026
"entry20 - entry8",604.582066522931,76.2601931346285,71,7.92788533141545,4.17489109949543e-09
"entry20 - entry15",596.830265778362,91.9708279154601,71,6.48934318963586,1.81009429001122e-06
"entry3 - entry5",-205.541597312457,77.9879006722205,71,-2.6355575100853,0.489987072519028
"entry3 - entry8",106.5201267554,81.3011259361166,71,1.31019251614177,0.998648259490355
"entry3 - entry15",98.7683260108309,95.7283747105038,71,1.03175601079116,0.999951314525442
"entry5 - entry8",312.061724067857,74.4048063428238,71,4.19410706655182,0.0105824571152181
"entry5 - entry15",304.309923323288,90.881453954235,71,3.34842710017083,0.119792885588625
"entry8 - entry15",-7.7518007445687,94.0371747067259,71,-0.0824333649829896,1
