"env","site","year","rep","row","col","entry","yield","fitted","resid","resid_norm","resid_kind","flag_outlier"
"MilletVT_2025","MilletVT",2025,"6",6,7,"12",3922.960157,4161.88456290512,-238.924405905119,-0.461181358296302,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",8,7,"14",3937.057193,4030.69382522012,-93.6366322201197,0.348615157975358,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",13,7,"15",4975.792433,4808.15864792252,167.633785077476,0.818471397165438,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",10,7,"16",4865.43634,4542.53290374174,322.903436258262,1.73924565250849,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",5,7,"17",4392.80392,4249.42077738318,143.383142616819,0.360646289099064,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",3,7,"18",4695.654269,5028.92256492372,-333.268295923722,-1.24611188731596,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",16,7,"19",4575.272793,4999.36684429162,-424.094051291618,-1.21939488115622,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",2,7,"20",4285.159611,4302.62570616596,-17.4660951659562,0.252317771474422,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",13,8,"1",5007.040244,4895.97890942219,111.061334577808,0.247249013579232,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",16,8,"4",4399.2401,4890.00654260073,-490.76644260073,-1.19292752082298,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",4,8,"5",4412.218491,4640.99370428133,-228.775213281328,-0.584924273374759,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",10,8,"6",3833.662142,4461.42174660451,-627.759604604511,-1.4366693715825,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",15,8,"7",4836.507993,4621.01665846216,215.491334537838,1.80332542482759,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",5,8,"8",4391.775404,4352.69141515261,39.0839888473893,0.724780225891262,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",2,8,"9",3971.239457,4099.15169366382,-127.912236663822,-0.251939955624868,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",8,8,"10",4730.721905,4945.4378295291,-214.715924529097,-0.801757159181117,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",14,8,"12",4523.780705,4161.88455463501,361.896150364987,1.13123890353964,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",1,8,"13",3648.836694,3888.91414286152,-240.077448861517,-1.29300061457301,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",9,8,"14",4186.432645,4030.69382689419,155.738818105806,0.697044827020615,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",7,8,"15",4608.307254,4808.15865619263,-199.851402192629,-0.767380025663641,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",6,8,"16",4236.252068,4542.53290206766,-306.280834067665,-1.33444432246289,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",3,8,"17",3832.275765,4249.42077940436,-417.145014404362,-1.27216174501967,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",11,8,"18",4857.9902,5028.92256457661,-170.932364576614,-0.055600601034145,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",12,8,"19",4521.442686,4999.3668542358,-477.924168235798,-1.22224306675114,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",1,9,"2",4074.311109,4498.69517130448,-424.384062304483,-0.655288876746395,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",5,9,"3",5232.932123,4897.04557786124,335.886545138761,2.02066319875935,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",4,9,"4",5177.654671,4890.00655289202,287.648118107983,1.94551863086896,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",2,9,"6",4549.891236,4461.42174695162,88.4694890483825,0.542310755916932,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",10,9,"8",4258.025866,4352.69141682668,-94.6655508266849,-0.253200186127444,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",9,9,"9",4392.549442,4099.15169331671,293.397748683285,1.07004781688688,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",14,9,"10",4879.565186,4945.43782125899,-65.8726352589911,-0.262843337902901,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",8,9,"11",4141.798217,4315.16090490694,-173.362687906942,-0.652096733658132,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",6,9,"13",3710.738533,3888.91414084034,-178.175607840335,-0.581379870768707,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",16,9,"14",3482.105711,4030.69381695001,-548.588105950014,-2.15989420318683,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",11,9,"15",4541.196562,4808.1586578667,-266.962095866704,-0.445585362880499,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",3,9,"16",3968.175114,4542.53290408885,-574.357790088845,-1.7919779743914,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",13,9,"17",4471.082497,4249.42076911308,221.661727886925,0.692884878047507,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",15,9,"18",5065.999679,5028.92255463243,37.0771243675654,0.0403457081932614,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",7,9,"19",5007.702948,4999.36685256172,8.33609543827606,-0.279367141946826,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",12,9,"20",3744.806812,4302.62570581885,-557.81889381885,-2.14110768875184,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",8,10,"1",4899.088441,4895.9789176923,3.10952330770215,0.169834195900921,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",11,10,"2",4553.703109,4498.69517095738,55.0079380426232,0.564527229896866,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",9,10,"3",4985.004016,4897.04557953531,87.9584364646871,0.118052399564762,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",13,10,"5",4714.029721,4640.99369399004,73.03602700996,0.435852251892389,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",7,10,"6",4541.013656,4461.42174493044,79.5919110695631,0.0969845574239607,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",6,10,"7",4433.417062,4621.01666673227,-187.599604732268,-0.72118189981617,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",1,10,"8",4424.30886,4352.69141717379,71.6174428262084,0.375378624465611,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",5,10,"9",3755.502852,4099.15169164264,-343.648839642641,-1.42315247101515,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",2,10,"10",5283.231344,4945.43783155028,337.793512449722,1.40288457885206,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",10,10,"11",4124.210057,4315.16090658102,-190.950849581015,-0.6536780302198,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",4,10,"12",4657.084906,4161.8845649263,495.2003410737,1.48956076084411,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",16,10,"13",3804.481966,3888.91413257023,-84.43216657023,-0.393131312530456,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",3,10,"15",4736.275363,4808.15865821381,-71.8832952138109,-0.91603274486317,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",14,10,"16",4741.900394,4542.53289379756,199.367500202442,0.892388630571223,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",12,10,"17",4058.769379,4249.42077905726,-190.651400057256,-1.04016578478885,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",15,10,"20",4407.245562,4302.62569587467,104.619866125331,0.397269153691013,"normalized (nlme)",FALSE
